kind,task,machine_selectable,process_time
0,0,"(9, 4, 6, 1, 3, 2, 5, 7)","(1, 3, 13, 10, 3, 13, 10, 9)"
0,1,"(5, 6, 7, 0, 1, 8, 2, 3)","(20, 5, 2, 3, 20, 12, 20, 16)"
0,2,"(9, 3, 6, 5, 1)","(11, 4, 4, 19, 10)"
0,3,"(8,)","(14,)"
0,4,"(0, 6, 1, 5, 7)","(8, 16, 2, 12, 11)"
1,0,"(1, 3, 8, 2, 9, 4, 5, 7)","(3, 14, 6, 4, 12, 1, 16, 14)"
1,1,"(7, 5)","(20, 13)"
1,2,"(8, 4, 2, 6)","(2, 11, 15, 13)"
1,3,"(3, 7, 5)","(14, 3, 2)"
1,4,"(7, 3, 4)","(13, 20, 1)"
1,5,"(2, 8, 4, 1, 9, 6, 0, 7, 5, 3)","(2, 4, 5, 4, 4, 8, 18, 18, 8, 7)"
2,0,"(2, 3, 8, 4, 7, 6)","(7, 3, 7, 17, 20, 4)"
2,1,"(0, 4, 2)","(15, 18, 11)"
2,2,"(4, 0, 7)","(19, 16, 5)"
2,3,"(3, 8, 5)","(15, 10, 14)"
2,4,"(3, 6, 1, 7, 5)","(1, 9, 14, 4, 6)"
2,5,"(1,)","(7,)"
3,0,"(9, 7, 4, 0, 8, 1, 5, 3, 6)","(16, 19, 17, 10, 7, 17, 15, 17, 20)"
3,1,"(5, 7)","(1, 8)"
3,2,"(7, 1, 6)","(13, 1, 18)"
3,3,"(0, 1)","(9, 6)"
3,4,"(5, 0, 7, 4, 9, 2, 8, 3, 6, 1)","(10, 20, 5, 17, 11, 18, 6, 6, 8, 17)"
3,5,"(4,)","(6,)"
3,6,"(6, 1, 8, 2, 9, 7, 3, 4, 0, 5)","(9, 4, 18, 1, 12, 6, 6, 1, 3, 19)"
3,7,"(6, 7, 5, 3, 0, 9, 8, 1)","(1, 5, 11, 18, 7, 1, 8, 1)"
3,8,"(7,)","(2,)"
4,0,"(6, 9, 1)","(2, 14, 8)"
4,1,"(5, 4, 7)","(13, 4, 5)"
4,2,"(1, 7, 9, 8, 5, 4, 2, 6)","(5, 11, 4, 11, 14, 17, 15, 2)"
4,3,"(2, 1, 0, 4, 3, 9, 5)","(2, 16, 16, 19, 7, 10, 5)"
4,4,"(4, 1, 5, 9, 8, 7, 2, 0)","(14, 7, 4, 15, 5, 12, 3, 2)"
4,5,"(5, 4, 3)","(17, 18, 9)"
4,6,"(6, 8, 0, 7, 1, 9, 5, 3, 4, 2)","(4, 1, 20, 3, 11, 13, 14, 13, 16, 1)"
4,7,"(2, 7, 8, 1, 4, 6, 3, 0, 5)","(15, 9, 14, 3, 12, 15, 3, 3, 9)"
