kind,task,machine_selectable,process_time
0,0,"(0, 1, 2)","(247, 123, 100)"
0,1,"(1, 3, 6)","(130, 140, 123)"
0,2,"(3, 4, 6)","(150, 160, 200)"
0,3,"(6, 7)","(210, 145)"
1,0,"(0, 2)","(214, 150)"
1,1,"(1, 2)","(66, 87)"
1,2,"(4, 5, 6)","(178, 95, 150)"
1,3,"(4, 7)","(120, 150)"
2,0,"(0, 1)","(87, 62)"
2,1,"(2, 3, 6)","(180, 105, 145)"
2,2,"(3, 4, 5)","(190, 100, 153)"
2,3,"(5, 7)","(170, 165)"
3,0,"(0, 1)","(87, 65)"
3,1,"(2, 4)","(250, 173)"
3,2,"(3, 5)","(145, 136)"
3,3,"(4, 5)","(250, 170)"
4,0,"(0, 1, 2)","(128, 123, 145)"
4,1,"(3, 4, 6)","(65, 47, 86)"
4,2,"(1, 4, 5)","(100, 110, 85)"
4,3,"(5, 7)","(165, 180)"
5,0,"(1, 2, 3)","(145, 320, 154)"
5,1,"(2, 3, 4)","(123, 150, 192)"
5,2,"(4, 5, 6)","(120, 240, 180)"
5,3,"(3, 6)","(120, 50)"
6,0,"(1, 2)","(157, 145)"
6,1,"(2, 4)","(124, 168)"
6,2,"(4, 5, 6)","(145, 165, 178)"
6,3,"(4, 7)","(140, 230)"
7,0,"(2, 3)","(257, 245)"
7,1,"(4, 5)","(268, 224)"
7,2,"(4, 5, 6)","(145, 165, 178)"
7,3,"(6, 7)","(150, 150)"
8,0,"(1, 2)","(150, 150)"
8,1,"(2, 3)","(180, 220)"
8,2,"(4, 6)","(40, 50)"
8,3,"(5, 7)","(150, 170)"
