kind,task,machine_selectable,process_time,power
0,0,"(0, 9)","(8, 9)","(184, 146)"
0,1,"(7, 4, 9)","(11, 11, 7)","(183, 96, 102)"
0,2,"(3,)","(8,)","(18,)"
0,3,"(9, 8, 1)","(17, 12, 19)","(42, 79, 67)"
0,4,"(3,)","(7,)","(199,)"
0,5,"(2, 3, 9)","(2, 16, 17)","(153, 44, 130)"
0,6,"(2, 1, 5, 7, 4, 0, 9)","(7, 16, 20, 17, 6, 18, 12)","(170, 62, 156, 97, 122, 29, 107)"
0,7,"(9, 2, 1, 0, 3, 7)","(6, 3, 8, 2, 19, 15)","(35, 64, 124, 184, 127, 103)"
1,0,"(7, 4, 0, 6, 8)","(3, 7, 6, 12, 19)","(30, 145, 162, 48, 140)"
1,1,"(9,)","(7,)","(166,)"
1,2,"(6, 1, 4, 0)","(4, 16, 4, 14)","(66, 100, 73, 123)"
1,3,"(0, 4, 3, 7, 5, 8, 6)","(12, 5, 15, 18, 10, 13, 15)","(107, 26, 169, 181, 103, 63, 44)"
1,4,"(3, 7, 9)","(2, 5, 9)","(129, 143, 13)"
2,0,"(8, 4, 2, 6, 7)","(3, 15, 11, 7, 15)","(93, 96, 27, 99, 47)"
2,1,"(9, 1, 6, 0, 7, 5, 8, 3, 4)","(17, 2, 13, 13, 5, 4, 20, 20, 9)","(101, 99, 156, 72, 160, 59, 179, 34, 94)"
2,2,"(8, 6)","(17, 2)","(137, 44)"
2,3,"(1, 7)","(7, 8)","(198, 55)"
2,4,"(4, 7, 5, 3, 1, 8, 2)","(6, 19, 18, 13, 13, 11, 15)","(93, 128, 174, 96, 42, 39, 45)"
2,5,"(3, 5, 7, 6, 2, 9, 1, 4)","(14, 8, 5, 8, 8, 14, 11, 16)","(140, 16, 107, 83, 178, 106, 82, 129)"
2,6,"(6, 1, 4, 7, 5, 2, 8)","(6, 4, 1, 10, 3, 15, 4)","(23, 148, 198, 56, 82, 63, 173)"
2,7,"(2, 3, 9, 8, 5, 7, 0, 1, 4)","(14, 11, 10, 1, 13, 16, 3, 17, 19)","(116, 110, 172, 186, 19, 107, 48, 76, 96)"
3,0,"(0, 3, 7, 1, 2, 5, 6)","(19, 6, 1, 9, 2, 20, 9)","(168, 11, 31, 28, 186, 93, 93)"
3,1,"(5,)","(8,)","(104,)"
3,2,"(6, 1, 7, 3)","(19, 1, 17, 14)","(110, 20, 150, 98)"
3,3,"(7, 2)","(19, 18)","(180, 50)"
3,4,"(7, 0, 8, 2, 6)","(18, 20, 7, 10, 17)","(128, 117, 19, 151, 166)"
3,5,"(6, 9, 0, 3, 4, 2, 1, 7, 5)","(1, 14, 18, 20, 18, 3, 1, 5, 7)","(65, 139, 184, 114, 132, 164, 113, 173, 103)"
4,0,"(7, 2, 1, 5, 8, 6, 4)","(20, 12, 14, 18, 18, 20, 20)","(162, 133, 131, 10, 200, 110, 34)"
4,1,"(8, 6, 0, 4, 3, 5, 9, 2)","(18, 18, 17, 17, 17, 8, 10, 5)","(105, 103, 126, 85, 65, 126, 139, 151)"
4,2,"(6, 1, 0, 4, 8, 7)","(1, 7, 17, 20, 1, 4)","(154, 39, 147, 25, 44, 53)"
4,3,"(7, 0, 8, 5)","(3, 7, 6, 4)","(193, 94, 175, 98)"
4,4,"(3, 7, 8, 4, 9, 2, 6)","(15, 5, 13, 5, 18, 6, 10)","(64, 176, 30, 131, 191, 88, 182)"
4,5,"(2, 1, 3, 9, 6, 8)","(7, 8, 14, 9, 6, 3)","(18, 164, 173, 177, 86, 46)"
4,6,"(4, 0, 7, 2)","(15, 3, 7, 19)","(10, 17, 32, 86)"
4,7,"(4,)","(19,)","(34,)"
4,8,"(2,)","(19,)","(80,)"
4,9,"(8,)","(9,)","(80,)"
5,0,"(2,)","(8,)","(65,)"
5,1,"(1, 0)","(18, 11)","(147, 93)"
5,2,"(5, 4)","(17, 20)","(124, 144)"
5,3,"(6, 7, 0, 1, 9)","(14, 2, 2, 1, 17)","(193, 52, 110, 161, 19)"
5,4,"(8, 9, 7, 6, 3, 0, 1, 2, 5)","(12, 10, 18, 17, 2, 15, 11, 7, 12)","(49, 101, 129, 120, 43, 196, 83, 12, 188)"
5,5,"(5, 0, 1)","(4, 2, 13)","(114, 127, 182)"
5,6,"(7, 3, 1, 4, 0, 6, 2)","(9, 10, 15, 6, 2, 1, 5)","(83, 62, 17, 189, 198, 75, 53)"
5,7,"(2, 7, 6, 8, 3, 9, 1)","(11, 11, 9, 8, 16, 11, 6)","(152, 184, 182, 94, 26, 81, 90)"
5,8,"(9, 3, 5, 2, 4, 8, 0, 7)","(4, 16, 10, 6, 8, 10, 8, 6)","(80, 125, 71, 119, 121, 171, 52, 157)"
