actions,completion,tardiness,energy
"(0, 0)",355,5011,341436
"(0, 1)",307,4152,302247
"(0, 2)",312,4196,310758
"(0, 3)",349,4894,324623
"(0, 4)",327,4905,325420
"(0, 5)",324,4538,310211
"(0, 6)",346,5058,329279
"(0, 7)",409,5233,361839
"(0, 8)",335,4805,309657
"(0, 9)",375,5574,333325
"(1, 0)",341,5042,322936
"(1, 1)",303,4563,281392
"(1, 2)",303,4538,281255
"(1, 3)",323,4869,306326
"(1, 4)",299,4633,290131
"(1, 5)",306,4645,290052
"(1, 6)",330,4599,286475
"(1, 7)",376,5263,338080
"(1, 8)",337,5277,305361
"(1, 9)",369,5360,328701
"(2, 0)",212,2114,226890
"(2, 1)",197,1999,211797
"(2, 2)",201,2092,218060
"(2, 3)",221,2150,235749
"(2, 4)",209,2068,218476
"(2, 5)",216,2142,213019
"(2, 6)",216,2128,231060
"(2, 7)",277,3191,283710
"(2, 8)",199,2127,209017
"(2, 9)",274,3165,289650
"(3, 0)",214,2264,223603
"(3, 1)",204,1962,220515
"(3, 2)",204,1962,220515
"(3, 3)",213,2000,225780
"(3, 4)",210,2071,217505
"(3, 5)",215,2082,218081
"(3, 6)",209,2118,223650
"(3, 7)",277,3227,284273
"(3, 8)",213,2158,234530
"(3, 9)",284,3038,270634
"(4, 0)",240,3061,240796
"(4, 1)",222,2715,220441
"(4, 2)",222,2715,220441
"(4, 3)",238,3457,262599
"(4, 4)",219,3087,239247
"(4, 5)",231,3052,236200
"(4, 6)",247,3403,255680
"(4, 7)",296,4114,284301
"(4, 8)",234,2910,236742
"(4, 9)",257,3782,273654
"(5, 0)",334,4961,290856
"(5, 1)",309,4556,276641
"(5, 2)",309,4556,276641
"(5, 3)",332,4891,301149
"(5, 4)",313,4742,270435
"(5, 5)",308,4534,266914
"(5, 6)",346,5156,301975
"(5, 7)",392,5290,341477
"(5, 8)",329,4791,288279
"(5, 9)",377,5454,320856
"(6, 0)",198,2620,193759
"(6, 1)",205,2546,189301
"(6, 2)",191,2342,191569
"(6, 3)",192,2540,186193
"(6, 4)",209,2642,196583
"(6, 5)",206,2616,186889
"(6, 6)",208,2492,196485
"(6, 7)",313,3939,257561
"(6, 8)",205,2662,203686
"(6, 9)",257,3733,243744
"(7, 0)",305,4537,229343
"(7, 1)",283,4066,208997
"(7, 2)",276,4117,205467
"(7, 3)",292,4019,222544
"(7, 4)",292,4504,222739
"(7, 5)",292,4235,207387
"(7, 6)",282,4038,233417
"(7, 7)",366,5302,280270
"(7, 8)",294,4538,224897
"(7, 9)",366,5237,276507
"(8, 0)",193,1849,221585
"(8, 1)",186,1638,200758
"(8, 2)",188,1698,211130
"(8, 3)",194,2010,226169
"(8, 4)",192,1716,201307
"(8, 5)",200,1809,198151
"(8, 6)",207,1906,224315
"(8, 7)",286,3028,274528
"(8, 8)",203,1821,211577
"(8, 9)",242,3030,244373
"(9, 0)",258,2780,265299
"(9, 1)",227,2411,235068
"(9, 2)",229,2379,231931
"(9, 3)",241,2353,247054
"(9, 4)",242,2650,231232
"(9, 5)",235,2543,215719
"(9, 6)",254,2773,246607
"(9, 7)",324,3984,297472
"(9, 8)",231,2710,255666
"(9, 9)",345,4140,317316
"(10, 0)",232,2785,240787
"(10, 1)",195,2486,209130
"(10, 2)",207,2693,224641
"(10, 3)",225,2762,238897
"(10, 4)",223,2620,217190
"(10, 5)",220,2930,233495
"(10, 6)",232,2704,243150
"(10, 7)",270,3987,276986
"(10, 8)",218,2849,238985
"(10, 9)",278,3587,284370
"(11, 0)",371,6665,344230
"(11, 1)",350,6347,332757
"(11, 2)",354,6701,311301
"(11, 3)",338,6149,308574
"(11, 4)",376,6439,297992
"(11, 5)",355,6387,307045
"(11, 6)",340,6387,310732
"(11, 7)",405,7015,348817
"(11, 8)",354,6628,326410
"(11, 9)",381,6765,326690
actions,completion,tardiness,energy
"(0, 0)",789,16946,1185929
