kind,task,machine_selectable,process_time
0,0,"(11, 6, 3, 7, 10, 14, 4, 0, 2, 1, 9, 8, 5, 12, 13)","(6, 2, 18, 16, 12, 19, 19, 15, 14, 18, 10, 14, 6, 7, 16)"
0,1,"(11, 7)","(3, 14)"
0,2,"(9,)","(11,)"
0,3,"(14, 13, 10, 2, 6, 12, 3, 7, 11, 1, 5, 0, 9, 4)","(9, 14, 18, 7, 14, 1, 14, 15, 14, 15, 8, 6, 20, 8)"
0,4,"(1, 4, 6, 7, 10, 2, 3, 9)","(10, 8, 17, 15, 4, 15, 13, 12)"
1,0,"(0, 11, 4, 8, 3, 5, 6, 7, 9, 12, 1, 13, 10, 2, 14)","(13, 13, 11, 7, 4, 14, 13, 18, 18, 12, 16, 18, 15, 11, 4)"
1,1,"(10, 4, 8, 9, 1, 14, 12, 7, 3, 5, 11, 6, 13, 0, 2)","(16, 20, 16, 10, 5, 3, 14, 5, 13, 9, 7, 7, 8, 3, 13)"
1,2,"(6, 10, 8, 2, 13, 4, 11)","(1, 1, 17, 19, 13, 1, 14)"
1,3,"(13, 3, 8, 9, 6, 12, 11, 1)","(5, 14, 19, 13, 19, 3, 11, 19)"
1,4,"(9, 13, 12, 7, 2, 1, 10, 6, 14, 11, 0)","(17, 14, 8, 4, 4, 18, 11, 13, 13, 14, 2)"
1,5,"(1, 8, 7, 3, 9, 4, 10, 5, 13, 0, 6)","(10, 20, 12, 18, 17, 15, 19, 11, 20, 15, 13)"
1,6,"(1, 10, 4, 5, 6, 14, 9, 8, 12, 13, 0, 3, 2)","(15, 5, 5, 19, 4, 4, 16, 13, 10, 9, 15, 13, 17)"
1,7,"(12, 8, 5, 1, 10)","(5, 11, 7, 10, 5)"
2,0,"(10,)","(7,)"
2,1,"(2, 1, 8)","(6, 14, 9)"
2,2,"(12, 7, 14, 10, 8, 4, 3, 2, 11, 1, 6)","(10, 1, 13, 1, 4, 6, 13, 16, 3, 10, 9)"
2,3,"(11, 3, 6, 0, 4, 12, 2, 14, 13, 5, 8, 9, 7, 1)","(5, 11, 13, 2, 18, 17, 6, 17, 8, 12, 19, 6, 6, 8)"
2,4,"(8, 2, 12, 9, 3, 7, 13)","(19, 5, 4, 4, 20, 5, 9)"
2,5,"(11, 3, 1, 2, 4, 13, 6, 7, 10, 9, 8, 5)","(4, 15, 10, 20, 12, 20, 14, 1, 20, 5, 10, 15)"
2,6,"(12, 9, 5)","(1, 10, 9)"
2,7,"(4, 5, 11, 13)","(8, 15, 14, 12)"
2,8,"(8, 14, 12, 4, 7, 11, 3, 2, 13, 5, 10)","(20, 14, 15, 1, 18, 16, 2, 18, 17, 3, 9)"
3,0,"(3,)","(5,)"
3,1,"(7, 14, 6, 13, 5, 10, 1, 3, 11, 12)","(18, 13, 14, 15, 15, 12, 16, 6, 3, 12)"
3,2,"(11, 0, 7, 8, 14, 10)","(1, 20, 20, 9, 3, 14)"
3,3,"(10, 2, 0, 9, 5, 7, 12, 11, 6, 13)","(9, 7, 8, 6, 19, 15, 13, 1, 13, 5)"
3,4,"(12, 11)","(6, 15)"
3,5,"(12, 7, 3, 5, 4, 11, 14, 2)","(7, 15, 16, 15, 20, 11, 18, 7)"
3,6,"(7, 3, 9, 13, 4, 5, 6, 1, 2, 10, 14)","(18, 9, 13, 9, 1, 5, 11, 6, 11, 16, 6)"
3,7,"(4, 2, 14, 5, 3, 1, 9)","(5, 20, 15, 17, 16, 9, 12)"
3,8,"(14,)","(17,)"
3,9,"(3, 4, 7, 2, 10, 13, 8, 14, 6)","(20, 5, 7, 7, 5, 16, 9, 20, 9)"
4,0,"(0, 11, 7, 2, 10, 8, 12, 6, 13, 9, 5, 14)","(10, 11, 9, 6, 2, 17, 11, 15, 4, 4, 3, 17)"
4,1,"(11, 14, 10)","(2, 2, 5)"
4,2,"(10, 6, 7, 4)","(12, 14, 19, 12)"
4,3,"(11, 9, 7, 3, 12, 2, 1, 0, 13)","(6, 17, 16, 10, 9, 4, 12, 16, 4)"
4,4,"(7, 10)","(4, 7)"
4,5,"(3, 10, 1, 12)","(4, 8, 7, 15)"
4,6,"(5, 8, 0, 3, 9, 14, 2)","(20, 3, 16, 9, 10, 14, 4)"
5,0,"(11, 10, 4, 3, 13, 14, 1, 8)","(6, 12, 18, 17, 10, 1, 9, 18)"
5,1,"(6, 1, 10, 8, 13, 4, 0)","(18, 19, 11, 18, 12, 19, 18)"
5,2,"(14, 1, 9, 2, 10, 3)","(20, 12, 13, 18, 10, 20)"
5,3,"(3, 11, 10, 0, 4, 1, 2, 9)","(4, 19, 7, 14, 4, 5, 18, 1)"
5,4,"(9, 1, 4, 13, 11, 10, 14, 5)","(6, 11, 19, 8, 20, 1, 19, 15)"
5,5,"(8, 7, 10, 2, 0, 14, 6, 9, 4, 3, 12, 11, 5, 13, 1)","(5, 20, 18, 10, 8, 19, 1, 5, 11, 20, 20, 14, 6, 10, 14)"
