kind,task,machine_selectable,process_time,power
0,0,"(0,)","(18,)","(9700,)"
0,1,"(2,)","(10,)","(5400,)"
0,2,"(0,)","(21,)","(8500,)"
0,3,"(5,)","(19,)","(6300,)"
0,4,"(6, 7, 8)","(28, 28, 28)","(5500, 5500, 5500)"
0,5,"(10,)","(10,)","(6600,)"
0,6,"(12, 13)","(20, 20)","(6500, 6500)"
0,7,"(14, 15, 16)","(32, 32, 32)","(8700, 8700, 8700)"
0,8,"(17, 18, 19)","(19, 19, 19)","(5100, 5100, 5100)"
0,9,"(9,)","(8,)","(5500,)"
1,0,"(1,)","(18,)","(9700,)"
1,1,"(2,)","(10,)","(5400,)"
1,2,"(3,)","(21,)","(8500,)"
1,3,"(5,)","(19,)","(6300,)"
1,4,"(6, 7, 8)","(28, 28, 28)","(5500, 5500, 5500)"
1,5,"(10,)","(10,)","(6600,)"
1,6,"(12, 13)","(20, 20)","(6500, 6500)"
1,7,"(14, 15, 16)","(32, 32, 32)","(8700, 8700, 8700)"
1,8,"(17, 18, 19)","(19, 19, 19)","(5100, 5100, 5100)"
1,9,"(9,)","(8,)","(5500,)"
2,0,"(1,)","(23,)","(7400,)"
2,1,"(2,)","(14,)","(6200,)"
2,2,"(3,)","(25,)","(9000,)"
2,3,"(4, 5)","(26, 26)","(8600, 8600)"
2,4,"(6, 7, 8, 9)","(42, 42, 42, 42)","(5200, 5200, 5200, 5200)"
2,5,"(10,)","(15,)","(8000,)"
2,6,"(11,)","(25,)","(8800,)"
2,7,"(12, 13)","(31, 31)","(7700, 7700)"
2,8,"(14, 15, 16)","(48, 48, 48)","(8300, 8300, 8300)"
2,9,"(17, 18)","(28, 28)","(9200, 9200)"
2,10,"(6, 7, 8, 9)","(10, 10, 10, 10)","(8000, 8000, 8000, 8000)"
